Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""menu/calender"", [""value"":dateBack]))",Edge Chromium 92,,,2021-09-03 00:26:34,2021-09-03 00:26:34,"0,220s",PASSED
"click(findTestObject(""menu/queryButton""))",Edge Chromium 92,,,2021-09-03 00:26:34,2021-09-03 00:26:34,"0,177s",PASSED
"switchToWindowTitle(""Itinerario de vuelos | Avianca"")",Edge Chromium 92,,,2021-09-03 00:26:34,2021-09-03 00:26:53,"19,365s",PASSED
"click(findTestObject(""menu/filter""))",Edge Chromium 92,,,2021-09-03 00:26:53,2021-09-03 00:26:53,"0,135s",PASSED
delay(10),Edge Chromium 92,,,2021-09-03 00:26:53,2021-09-03 00:27:03,"10,014s",PASSED
Start listener action : sampleAfterTestCase,Edge Chromium 92,,,2021-09-03 00:27:03,2021-09-03 00:27:03,"0,000s",PASSED
,,,,,,,
Test Cases/RequieredFormat,Edge Chromium 92,,,2021-09-03 00:27:03,2021-09-03 00:27:11,"7,147s",PASSED
Start listener action : sampleBeforeTestCase,Edge Chromium 92,,,2021-09-03 00:27:03,2021-09-03 00:27:09,"5,111s",PASSED
"click(findTestObject(""reservation/searchButton""))",Edge Chromium 92,,,2021-09-03 00:27:09,2021-09-03 00:27:09,"0,234s",PASSED
"verifyTextPresent(""Para continuar, por favor corregir los 4 errores indicados"", false)",Edge Chromium 92,,,2021-09-03 00:27:09,2021-09-03 00:27:09,"0,446s",PASSED
"verifyTextPresent(""Desde: Selecciona un origen"", false)",Edge Chromium 92,,,2021-09-03 00:27:09,2021-09-03 00:27:10,"0,299s",PASSED
"verifyTextPresent(""Hacia: Selecciona un destino"", false)",Edge Chromium 92,,,2021-09-03 00:27:10,2021-09-03 00:27:10,"0,255s",PASSED
"verifyTextPresent(""Salida: This field is required."", false)",Edge Chromium 92,,,2021-09-03 00:27:10,2021-09-03 00:27:10,"0,248s",PASSED
"verifyTextPresent(""Fechas de viaje:: Selecciona la fecha de vuelta"", false)",Edge Chromium 92,,,2021-09-03 00:27:10,2021-09-03 00:27:11,"0,318s",PASSED
Start listener action : sampleAfterTestCase,Edge Chromium 92,,,2021-09-03 00:27:11,2021-09-03 00:27:11,"0,000s",PASSED
